CE_OI,CE_CHNG_IN_OI,CE_VOLUME,CE_IV,CE_LTP,CE_CHNG,CE_BID_QTY,CE_BID_PRICE,CE_ASK_QTY,CE_ASK_PRICE,strikePrice,PE_OI,PE_CHNG_IN_OI,PE_VOLUME,PE_IV,PE_LTP,PE_CHNG,PE_BID_QTY,PE_BID_PRICE,PE_ASK_QTY,PE_ASK_PRICE,TimeStamp
400,0,0,0.0,0.0,0.0,250,3203.2,250,3310.5,21750,248340,-41004,265324,55.29,0.95,-1.0,54650,0.9,40025,0.95,2024-07-29 12:02:55
31,0,0,0.0,0.0,0.0,1025,2980.15,1025,3262.4,21800,54799,-14651,69596,54.46,0.95,-0.85,6775,0.9,6825,0.95,2024-07-29 12:02:55
0,0,0,0.0,0.0,0.0,250,3105.6,1025,3212.85,21850,30192,-2353,47638,53.9,0.95,-1.05,18075,0.9,8275,0.95,2024-07-29 12:02:55
6,0,0,0.0,0.0,0.0,250,3054.75,1025,3196.6,21900,13939,-6934,27799,53.07,0.95,-0.95,1675,0.95,4350,1.0,2024-07-29 12:02:55
111,0,0,0.0,0.0,0.0,250,3003.75,250,3110.3,21950,6505,-5378,17883,52.24,1.0,-0.95,1875,0.95,7275,1.05,2024-07-29 12:02:55
463,1,3,95.53,3062.15,162.15,225,2972.75,25,3012.1,22000,98872,-20818,93549,51.15,0.95,-0.8,12275,0.95,13725,1.0,2024-07-29 12:02:55
192,0,0,0.0,0.0,0.0,1025,2901.05,1025,3010.35,22050,799,152,2621,51.07,1.1,-0.75,1400,1.0,250,1.1,2024-07-29 12:02:55
25,0,0,0.0,0.0,0.0,1025,2852.15,1025,2964.2,22100,4643,-1190,8389,50.0,1.05,-0.75,975,1.05,1125,1.1,2024-07-29 12:02:55
1,0,0,0.0,0.0,0.0,1025,2801.6,1025,2921.85,22150,3130,476,5743,48.93,1.0,-0.85,775,1.0,3575,1.05,2024-07-29 12:02:55
5,0,0,0.0,0.0,0.0,1025,2754.35,1025,2896.85,22200,3261,-736,6999,48.1,1.0,-0.8,850,0.95,625,1.0,2024-07-29 12:02:55
0,0,0,0.0,0.0,0.0,1025,2702.15,250,2808.35,22250,895,46,2197,47.51,1.15,-0.65,150,1.05,950,1.15,2024-07-29 12:02:55
6,0,0,0.0,0.0,0.0,1025,2649.8,1025,2761.95,22300,3315,-1548,4933,46.9,1.05,-0.85,325,1.05,2450,1.1,2024-07-29 12:02:55
0,0,0,0.0,0.0,0.0,1025,2600.7,1025,2712.1,22350,555,-149,2014,46.07,1.1,-0.85,700,1.05,650,1.15,2024-07-29 12:02:55
2,0,0,0.0,0.0,0.0,1025,2553.3,1025,2682.0,22400,6193,-1312,11340,45.24,1.1,-0.8,2175,1.05,5725,1.1,2024-07-29 12:02:55
0,0,0,0.0,0.0,0.0,1025,2506.85,1025,2609.4,22450,1395,139,2024,44.62,1.15,-0.85,1175,1.15,425,1.2,2024-07-29 12:02:55
710,0,0,0.0,0.0,0.0,25,2460.0,25,2550.0,22500,44684,-10114,92095,43.59,1.1,-0.85,11600,1.1,28500,1.15,2024-07-29 12:02:55
0,0,0,0.0,0.0,0.0,1025,2401.35,1025,2511.8,22550,2391,189,3315,43.15,1.15,-0.85,3275,1.15,1675,1.2,2024-07-29 12:02:55
5,0,1,55.53,2410.0,480.0,1075,2305.7,1025,2465.15,22600,9205,-985,23761,42.5,1.25,-0.85,4900,1.2,3500,1.25,2024-07-29 12:02:55
0,0,0,0.0,0.0,0.0,1025,2304.35,1025,2412.3,22650,1299,-305,2043,41.66,1.25,-0.95,1375,1.2,1500,1.3,2024-07-29 12:02:55
372,0,0,0.0,0.0,0.0,1025,2251.85,1025,2361.7,22700,9424,-537,14658,40.65,1.25,-0.95,7075,1.2,4400,1.25,2024-07-29 12:02:55
0,0,0,0.0,0.0,0.0,1025,2199.9,1025,2339.75,22750,1785,-136,3042,39.81,1.2,-1.0,2350,1.15,2625,1.25,2024-07-29 12:02:55
333,0,0,0.0,0.0,0.0,1025,2156.1,1025,2294.7,22800,21844,-4160,32505,39.32,1.3,-0.95,5500,1.25,15875,1.3,2024-07-29 12:02:55
4,3,10,0.0,2077.9,341.0,1025,2090.9,75,2160.0,22850,2580,-595,9546,38.8,1.4,-0.9,2475,1.4,2300,1.45,2024-07-29 12:02:55
71,0,0,0.0,0.0,0.0,1025,2052.6,1025,2161.65,22900,11607,-2547,32144,38.1,1.35,-1.0,11425,1.35,22175,1.4,2024-07-29 12:02:55
1,0,0,0.0,0.0,0.0,1025,1925.3,1025,2144.9,22950,2577,-1429,9169,37.11,1.4,-1.05,3600,1.4,5050,1.45,2024-07-29 12:02:55
4219,-30,318,46.98,2010.0,154.45,75,2004.75,75,2009.0,23000,147431,-9627,288392,36.55,1.45,-1.15,45150,1.45,54625,1.5,2024-07-29 12:02:55
1,0,0,0.0,0.0,0.0,1025,1901.0,1025,2039.65,23050,3641,-473,10618,35.7,1.45,-1.1,3900,1.45,5150,1.55,2024-07-29 12:02:55
112,0,0,0.0,0.0,0.0,1025,1853.4,1025,1961.7,23100,31041,-4095,73354,34.98,1.55,-1.1,23600,1.5,23200,1.55,2024-07-29 12:02:55
11,0,0,0.0,0.0,0.0,1025,1803.5,1025,1911.6,23150,4940,-631,12395,34.0,1.55,-1.05,1625,1.5,2925,1.55,2024-07-29 12:02:55
601,-3,14,41.0,1807.85,154.75,25,1770.35,75,1811.45,23200,50987,10424,172418,33.28,1.55,-1.2,33150,1.5,63300,1.55,2024-07-29 12:02:55
19,0,0,0.0,0.0,0.0,1025,1707.8,1025,1843.8,23250,8043,-1609,19910,32.89,1.75,-1.2,7600,1.75,5025,1.8,2024-07-29 12:02:55
426,-5,7,0.0,1610.0,32.45,100,1681.95,100,1747.0,23300,50410,1727,112868,32.14,1.75,-1.3,14975,1.75,24575,1.8,2024-07-29 12:02:55
168,-54,78,0.0,1565.0,49.55,50,1630.3,50,1687.0,23350,9159,-523,13661,31.58,1.9,-1.3,4975,1.9,3450,1.95,2024-07-29 12:02:55
1011,-65,88,47.96,1629.9,169.9,225,1592.9,75,1610.4,23400,40470,-2703,95572,30.61,1.9,-1.45,25875,1.9,25375,1.95,2024-07-29 12:02:55
24,0,0,0.0,0.0,0.0,1025,1506.7,1025,1629.0,23450,12979,372,33889,30.11,2.1,-1.35,10850,2.1,18450,2.15,2024-07-29 12:02:55
5307,-621,1192,29.47,1503.0,130.0,125,1506.6,25,1510.95,23500,151243,-14933,307189,29.23,2.1,-1.55,89725,2.05,21625,2.1,2024-07-29 12:02:55
79,0,0,0.0,0.0,0.0,1800,1436.65,1800,1488.45,23550,21600,-89,46648,28.6,2.25,-1.8,10275,2.2,8575,2.25,2024-07-29 12:02:55
